# index, _pos
209,"[-0.55574601, 10.01307458]"
210,"[-0.53609615, 10.00299764]"
211,"[-0.57218932, 9.94609567]"
212,"[-0.57987278, 10.00626934]"
213,"[-0.58804014, 9.97621697]"
214,"[-0.56767921, 9.99208135]"
215,"[-0.48792998, 9.99519721]"
216,"[-0.49515791, 9.9472421]"
217,"[-0.58497519, 10.07064552]"
218,"[-0.59083517, 10.04893324]"
219,"[-0.58671524, 10.03986818]"
220,"[-0.57933034, 10.03086524]"
221,"[-0.6145992, 9.91973562]"
222,"[-0.50016546, 9.88138728]"
223,"[-0.53317929, 10.03950629]"
224,"[-0.52723232, 9.94282793]"
225,"[-0.57489225, 10.01679216]"
226,"[-0.61593085, 9.94758552]"
227,"[-0.65067425, 9.95906999]"
228,"[-0.58131487, 9.95654088]"
229,"[-0.53093759, 9.95484635]"
230,"[-0.50766809, 10.01881639]"
231,"[-0.58056528, 9.84739442]"
232,"[-0.68068987, 9.91194891]"
233,"[-0.54163783, 9.92909754]"
234,"[-0.65391431, 9.89673682]"
235,"[-0.64215799, 9.96258225]"
236,"[-0.67658843, 9.93132463]"
237,"[-0.51237835, 9.94156369]"
238,"[-0.64089612, 9.94294348]"
239,"[-0.66425902, 9.99234271]"
240,"[-0.47442666, 10.0190408]"
241,"[-0.65124058, 9.92362362]"
242,"[-0.55087968, 9.95231781]"
243,"[-0.52853371, 9.96654081]"
244,"[-0.52208859, 9.99888083]"
245,"[-0.55571299, 9.93026465]"
246,"[-0.54730012, 10.03459965]"
247,"[-0.57641035, 9.91670747]"
248,"[-0.50158861, 9.97967359]"
249,"[-0.52909367, 9.93089048]"
250,"[-0.52248677, 10.01024781]"
251,"[-0.56489498, 9.88998919]"
252,"[-0.64673805, 9.97729068]"
253,"[-0.5214985, 10.03479632]"
254,"[-0.55740181, 9.97699686]"
255,"[-0.49743395, 9.96424258]"
256,"[-0.50842099, 9.95931597]"
257,"[-0.57518133, 9.97351476]"
258,"[-0.54735697, 10.02040058]"
259,"[-0.49456021, 10.02706694]"
260,"[-0.603172, 9.87572314]"
261,"[-0.60411124, 9.95904258]"
262,"[-0.55866786, 9.94346125]"
263,"[-0.59885945, 9.96941427]"
264,"[-0.53825952, 9.97331049]"
265,"[-0.53837955, 9.89599094]"
266,"[-0.52505405, 9.87880487]"
267,"[-0.61684624, 10.07850275]"
268,"[-0.74094308, 9.84517211]"
269,"[-0.5346617, 9.8573165]"
270,"[-0.74026056, 10.03326319]"
271,"[-0.6090605, 9.86317466]"
272,"[-0.47191719, 9.91255749]"
273,"[-0.65923073, 9.90916125]"
274,"[-0.53223517, 10.11669096]"
275,"[-0.63329336, 10.17040031]"
276,"[-0.5897765, 9.92342844]"
277,"[-0.54013792, 9.94786515]"
278,"[-0.67273386, 9.91993697]"
279,"[-0.55208938, 9.92002554]"
280,"[-0.5148817, 9.92687487]"
281,"[-0.4784324, 10.05989974]"
282,"[-0.50493928, 9.99220757]"
283,"[-0.66073372, 9.95400413]"
284,"[-0.59786535, 10.00886103]"
285,"[-0.48647455, 9.97765535]"
286,"[-0.6563926, 10.09925385]"
287,"[-0.64288869, 9.91674215]"
288,"[-0.82952769, 10.00596306]"
289,"[-0.86147841, 9.94142034]"
290,"[-0.6982937, 10.03041552]"
291,"[-0.7189822, 9.95754351]"
292,"[-0.6841213, 9.92557315]"
293,"[-0.69052725, 10.04067187]"
294,"[-0.77124716, 9.99753449]"
295,"[-0.57047873, 9.93544186]"
296,"[-0.70609311, 10.08035119]"
297,"[-0.65460734, 10.07454162]"
298,"[-0.52573793, 10.02281325]"
299,"[-0.53776904, 10.0517539]"
300,"[-0.75925524, 10.05432816]"
301,"[-0.70796285, 10.03151023]"
302,"[-0.79961848, 10.04729794]"
303,"[-0.77179708, 9.94342715]"
304,"[-0.57129485, 9.99871565]"
305,"[-0.48556012, 10.1009733]"
306,"[-0.45484379, 10.01358849]"
307,"[-0.47872738, 9.95710279]"
308,"[-0.56223372, 9.87142652]"
309,"[-0.43780517, 9.97638488]"
310,"[-0.46363859, 9.98357423]"
311,"[-0.42986582, 9.91355573]"
312,"[-0.55351846, 9.96718116]"
313,"[-0.5494506, 9.94076855]"
314,"[-0.51097473, 10.05552493]"
315,"[-0.59429337, 9.94973858]"
316,"[-0.59027148, 9.87132647]"
317,"[-0.59194006, 9.85908019]"
318,"[-0.57658293, 9.86542082]"
319,"[-0.57026515, 9.90221784]"
320,"[-0.59571722, 9.84430429]"
321,"[-0.61363639, 9.83679116]"
322,"[-0.6354172, 9.85633518]"
323,"[-0.68364651, 9.83055309]"
324,"[-0.63012084, 9.84477792]"
325,"[-0.53216191, 9.83532829]"
326,"[-0.69824776, 9.81908745]"
327,"[-0.74756736, 9.85925961]"
328,"[-0.65695091, 9.8243784]"
329,"[-0.72730961, 9.84019257]"
330,"[-0.7629751, 9.84826504]"
331,"[-0.71666092, 9.85365125]"
332,"[-0.49808079, 10.04706847]"
333,"[-0.64181578, 9.9533488]"
334,"[-0.64628637, 9.90628983]"
335,"[-0.58996604, 10.02913646]"
336,"[-0.49008126, 9.89741231]"
337,"[-0.49197536, 10.07363322]"
338,"[-0.58568223, 10.14495679]"
