# source, target, migration_1990_total, migration_1990_male, migration_1990_female, migration_1995_total, migration_1995_male, migration_1995_female, migration_2000_total, migration_2000_male, migration_2000_female, migration_2005_total, migration_2005_male, migration_2005_female, migration_2010_total, migration_2010_male, migration_2010_female, migration_2015_total, migration_2015_male, migration_2015_female
1,74,3391,1857,1534,3501,1890,1611,3611,1924,1687,5747,3015,2732,6189,3241,2948,6695,3496,3199
1,80,5211,4451,760,8303,5370,2933,11394,6288,5106,14418,7541,6877,17442,8795,8647,18043,9098,8945
1,121,290,151,139,275,143,132,264,136,128,229,125,104,197,115,82,301,178,123
1,145,181,107,74,267,155,112,362,206,156,666,346,320,897,486,411,1192,604,588
1,200,1333,803,530,1316,723,593,1304,646,658,1492,708,784,1709,709,1000,2008,915,1093
1,53,242,133,109,184,98,86,125,62,63,125,62,63,114,57,57,103,52,51
1,50,2,1,1,2,2,0,3,3,0,2,2,0,4,4,0,4,4,0
1,8,148,86,62,144,84,60,140,83,57,103,61,42,66,39,27,66,39,27
1,24,6,0,6,3,0,3,0,0,0,1,0,1,1,0,1,1,0,1
1,42,23,10,13,24,10,14,25,11,14,20,10,10,15,10,5,25,14,11
1,46,57,38,19,52,32,20,47,26,21,43,23,20,46,23,23,49,25,24
1,63,8,4,4,19,10,9,30,16,14,35,19,16,49,26,23,71,38,33
1,225,17,9,8,16,8,8,16,8,8,16,8,8,18,9,9,19,9,10
1,37,398,193,205,3263,1574,1689,6205,2993,3212,9642,4835,4807,13659,6981,6678,15265,7797,7468
1,220,5627,3220,2407,21701,12533,9168,38663,22387,16276,53265,30950,22315,68521,36399,32122,81196,39747,41449
1,11,984,681,303,1315,803,512,1570,880,690,2300,1220,1080,2930,1490,1440,3334,1684,1650
1,68,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0
2,77,34,20,14,41,24,17,52,31,21,57,34,23,65,38,27,71,41,30
2,64,543,183,360,573,189,384,648,209,439,771,281,490,832,283,549,987,250,737
2,118,1551,530,1021,2079,879,1200,2642,1271,1371,2910,1669,1241,3184,1842,1342,3589,2056,1533
