# index, name, _pos
80,c3d2038f-22a8-4e2d-9394-d6841c8e4705,"array([-14.78135125,  14.05991206])"
81,1222cd98-9b5d-4e26-92fe-e89cf946ac47,"array([-14.72688843,  14.14084194])"
82,39133851-0675-4e0b-9dfc-50b141d94357,"array([-14.59608465,  14.28921323])"
83,e63f21f6-3dff-4cfb-9977-7a3a15273d36,"array([-14.64341982,  14.38590852])"
84,1233e959-23f9-4da5-93e3-4ab7268a22a1,"array([-14.69580204,  14.41306111])"
85,22efef1e-9b32-4ef6-8dd1-9fa97ad31bd0,"array([-14.89497013,  14.22561858])"
86,212abeb2-36fc-4f10-b0ce-36aba4356682,"array([-14.79468911,  14.24509557])"
87,35c3ae73-fbde-4a38-8515-876c2273b09d,"array([-14.80368421,  14.29951244])"
88,a1a374bf-dc3c-46de-a9c3-88a81da852b7,"array([-14.8900488 ,  14.12040866])"
89,660d377b-398a-4e3f-abd0-2597ba7ba52a,"array([-14.73513824,  14.29097072])"
90,d1078e0c-12a3-4992-9311-07f275c3475c,"array([-14.46599704,  14.25523939])"
91,151f4641-26cc-454b-a592-41d79147fcbd,"array([-14.39409092,  14.30132259])"
92,a7ce0dc9-520f-4618-8dee-050c826b6ee8,"array([-14.72701015,  14.34776118])"
93,91cab1af-198c-46a1-b41b-758f94d78531,"array([-14.77736557,  14.35170633])"
94,421c53ee-7b38-47d4-bb5d-22c3157ccf80,"array([-14.90456414,  14.26356448])"
95,17262b58-cf1a-4ea2-8cc1-8847cda7f911,"array([-14.81229036,  14.47023235])"
96,b6c614f3-61f6-42a9-8bd0-00de399e38f5,"array([-14.87392315,  14.25623203])"
97,c34f5afe-5965-4b6c-842f-68b2f290c6f2,"array([-14.61992388,  14.39300787])"
98,173d2020-4832-4789-b28f-25b37ff77c7a,"array([-14.64408877,  14.24935755])"
99,d2a7e2cd-a6fe-4591-aa6f-3a2c6890a5ce,"array([-14.74056537,  14.11713713])"
100,24d23344-cd1b-452e-ac9f-de3acf3b76fa,"array([-14.62435061,  14.12318111])"
101,3cf7683f-713a-42ab-ab27-2d268445d1eb,"array([-14.69315326,  14.0906367 ])"
102,606f46b4-1047-40ab-955e-deb3e7d8dec0,"array([-14.85869844,  14.38340977])"
103,957af9cc-e294-4032-9be9-4b26fc9cc734,"array([-14.526755  ,  14.21131575])"
104,005fb8bc-7609-4845-a568-eee6fa7f838a,"array([-14.76847051,  14.15959744])"
105,17c9435c-0c54-40ad-9358-4ec24643ddd4,"array([-14.60892863,  14.2715735 ])"
106,567e4b35-07bd-45e3-9547-6266ed50ce07,"array([-14.66611087,  14.2138898 ])"
107,27ab5f02-d651-4da5-8cc9-634a8e5715a2,"array([-14.54584977,  14.14609141])"
108,1802669a-53b4-449f-ac1a-3e1b679f830f,"array([-14.42298288,  14.03412835])"
109,ffaa1249-e66f-4632-9d0c-776bc17ca681,"array([-14.8140434 ,  14.23386019])"
110,185329b7-3340-4cb1-95bf-d56fdc6c1edb,"array([-14.74652534,  14.1698274 ])"
111,d32944a9-69d7-4ab7-8ef1-e238506e2d51,"array([-14.8932695 ,  14.19805661])"
112,c89af3b8-e973-432f-9f23-81640a53e3ba,"array([-14.51389929,  14.18408382])"
113,1b829962-8552-44ed-bae6-5dce44ae627a,"array([-14.7344827 ,  14.36840631])"
